# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.median.wait.ms,1756515718886000000,1756515778915000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1756515718886000000,1756515778915000000,1439721
parser.IgnoreLang.time.ns,1756515718886000000,1756515778915000000,6164767
lexer.IgnoreLang.size.bytes,1756515718886000000,1756515778915000000,0
writeAction.wait.ms,1756515718886000000,1756515778915000000,28
DiskQueryRelay.taskWaitingTotalTimeUs,1756515718886000000,1756515778915000000,6490307
DiskQueryRelay.tasksExecuted,1756515718886000000,1756515778915000000,50879
parser.IgnoreLang.size.bytes,1756515718886000000,1756515778915000000,0
writeAction.max.wait.ms,1756515718886000000,1756515778915000000,11
lexer.IgnoreLang.time.ns,1756515718886000000,1756515778915000000,1758665
DiskQueryRelay.tasksRequested,1756515718886000000,1756515778915000000,50879
writeAction.count,1756515718886000000,1756515778915000000,25
DirectByteBufferAllocator.reclaimed,1756515718886000000,1756515778915000000,3
FilePageCache.pageFastCacheHits,1756515718886000000,1756515778915000000,43876
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1756515718886000000,1756515778915000000,270548992
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1756515718886000000,1756515778915000000,0
DirectByteBufferAllocator.disposed,1756515718886000000,1756515778915000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1756515718886000000,1756515778915000000,0
FilePageCacheLockFree.totalPagesWritten,1756515718886000000,1756515778915000000,0
MappedFileStorage.totalPagesMapped,1756515718886000000,1756515778915000000,16
FilePageCacheLockFree.housekeeperTimeSpentMs,1756515718886000000,1756515778915000000,0
FilePageCacheLockFree.totalPagesReadMs,1756515718886000000,1756515778915000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1756515718886000000,1756515778915000000,0
FilePageCache.pageHits,1756515718886000000,1756515778915000000,0
StreamlinedBlobStorage.recordsRelocated,1756515718886000000,1756515778915000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1756515718886000000,1756515778915000000,0
FilePageCacheLockFree.totalBytesRead,1756515718886000000,1756515778915000000,0
MappedFileStorage.storages,1756515718886000000,1756515778915000000,16
MappedFileStorage.totalTimeSpentOnMappingUs,1756515718886000000,1756515778915000000,96008
FilePageCache.capacityInBytes,1756515718886000000,1756515778915000000,503316478
FilePageCache.uncachedFileAccess,1756515718886000000,1756515778915000000,256
DirectByteBufferAllocator.misses,1756515718886000000,1756515778915000000,260
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1756515718886000000,1756515778915000000,207286
FilePageCacheLockFree.nativeBytesInUse,1756515718886000000,1756515778915000000,0
FilePageCache.pageLoads,1756515718886000000,1756515778915000000,263
FilePageCacheLockFree.totalPagesRequested,1756515718886000000,1756515778915000000,0
FilePageCache.disposedBuffers,1756515718886000000,1756515778915000000,3
DirectByteBufferAllocator.hits,1756515718886000000,1756515778915000000,3
StreamlinedBlobStorage.recordsAllocated,1756515718886000000,1756515778915000000,2613
FilePageCache.totalPageDisposalsUs,1756515718886000000,1756515778915000000,2579
FilePageCacheLockFree.totalPagesAllocated,1756515718886000000,1756515778915000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1756515718886000000,1756515778915000000,65694
FilePageCacheLockFree.totalPagesReclaimed,1756515718886000000,1756515778915000000,0
FilePageCache.maxCacheSizeInBytes,1756515718886000000,1756515778915000000,270548992
FilePageCacheLockFree.totalNativeBytesAllocated,1756515718886000000,1756515778915000000,0
FilePageCache.totalPageLoadsUs,1756515718886000000,1756515778915000000,631023
FileChannelInterruptsRetryer.totalRetriedAttempts,1756515718886000000,1756515778915000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1756515718886000000,1756515778915000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1756515718886000000,1756515778915000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1756515718886000000,1756515778915000000,0
FilePageCacheLockFree.totalPagesWriteMs,1756515718886000000,1756515778915000000,0
FilePageCacheLockFree.heapBytesInUse,1756515718886000000,1756515778915000000,0
StorageLockContext.competingThreads.max,1756515718886000000,1756515778915000000,7
StreamlinedBlobStorage.recordsDeleted,1756515718886000000,1756515778915000000,3
StorageLockContext.competingThreads.avg,1756515718886000000,1756515778915000000,0.059322033898305086
FilePageCacheLockFree.totalBytesRequested,1756515718886000000,1756515778915000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1756515718886000000,1756515778915000000,0
FilePageCache.maxRegisteredFiles,1756515718886000000,1756515778915000000,523
StorageLockContext.competingThreads.90P,1756515718886000000,1756515778915000000,0
MappedFileStorage.totalBytesMapped,1756515718886000000,1756515778915000000,202637312
FilePageCacheLockFree.totalPagesHandedOver,1756515718886000000,1756515778915000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1756515718886000000,1756515778915000000,0
FilePageCacheLockFree.totalBytesWritten,1756515718886000000,1756515778915000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1756515718886000000,1756515778915000000,0
workspaceModel.cachedValue.clear.count,1756515718886000000,1756515778915000000,1
workspaceModel.on.before.changed.ms,1756515718886000000,1756515778915000000,48
workspaceModel.cachedValueWithParameters.from.cache.count,1756515718886000000,1756515778915000000,0
workspaceModel.check.recursive.update.ms,1756515718886000000,1756515778915000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1756515718886000000,1756515778915000000,3
workspaceModel.updates.count,1756515718886000000,1756515778915000000,2
workspaceModel.on.changed.ms,1756515718886000000,1756515778915000000,116
workspaceModel.collect.changes.ms,1756515718886000000,1756515778915000000,0
workspaceModel.init.bridges.ms,1756515718886000000,1756515778915000000,3
workspaceModel.cachedValue.total.get.count,1756515718886000000,1756515778915000000,97
workspaceModel.cachedValue.calculated.count,1756515718886000000,1756515778915000000,13
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1756515718886000000,1756515778915000000,8
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1756515718886000000,1756515778915000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1756515718886000000,1756515778915000000,0
workspaceModel.cachedValue.from.cache.count,1756515718886000000,1756515778915000000,84
workspaceModel.replace.project.model.ms,1756515718886000000,1756515778915000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1756515718886000000,1756515778915000000,19
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1756515718886000000,1756515778915000000,2
workspaceModel.loading.total.ms,1756515718886000000,1756515778915000000,10
workspaceModel.cachedValueWithParameters.calculated.count,1756515718886000000,1756515778915000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1756515718886000000,1756515778915000000,3
workspaceModel.update.unloaded.entities.ms,1756515718886000000,1756515778915000000,0
workspaceModel.loading.from.cache.ms,1756515718886000000,1756515778915000000,2
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1756515718886000000,1756515778915000000,22
workspaceModel.updates.ms,1756515718886000000,1756515778915000000,66
workspaceModel.full.replace.project.model.ms,1756515718886000000,1756515778915000000,110
workspaceModel.workspaceFileIndexData.processFileSets.ms,1756515718886000000,1756515778915000000,0
workspaceModel.workspaceFileIndexData.instances.count,1756515718886000000,1756515778915000000,1
workspaceModel.updates.precise.ms,1756515718886000000,1756515778915000000,2
workspaceModel.initializing.ms,1756515718886000000,1756515778915000000,0
workspaceModel.pre.handlers.ms,1756515718886000000,1756515778915000000,1
workspaceModel.cachedValueWithParameters.total.get.count,1756515718886000000,1756515778915000000,0
workspaceModel.workspaceFileIndexData.init.ms,1756515718886000000,1756515778915000000,2
workspaceModel.cachedValueWithParameters.clear.count,1756515718886000000,1756515778915000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1756515718886000000,1756515778915000000,0
workspaceModel.to.snapshot.ms,1756515718886000000,1756515778915000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1756515718886000000,1756515778915000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1756515718886000000,1756515778915000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1756515718886000000,1756515778915000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1756515718886000000,1756515778915000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1756515718886000000,1756515778915000000,6
compiler.ArtifactManagerBridge.findArtifact.ms,1756515718886000000,1756515778915000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1756515718886000000,1756515778915000000,0
compiler.ArtifactManagerBridge.commit.ms,1756515718886000000,1756515778915000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1756515718886000000,1756515778915000000,0
cacheStateStorage.set.duration,1756515718886000000,1756515778915000000,62
cacheStateStorage.get.duration,1756515718886000000,1756515778915000000,58
cacheStateStorage.set.counter,1756515718886000000,1756515778915000000,7
cacheStateStorage.get.counter,1756515718886000000,1756515778915000000,34
Indexing.writer_0.totalTimeSpentWritingMs,1756515718886000000,1756515778915000000,893
Indexing.writesQueuedMax,1756515718886000000,1756515778915000000,17
Indexing.writer_2.totalTimeSpentWritingMs,1756515718886000000,1756515778915000000,722
Indexes.allKeys.lookupDurationMaxMs,1756515718886000000,1756515778915000000,0.0
Indexes.entries.lookupDurationAvgMs,1756515718886000000,1756515778915000000,7.857142857142857
Indexing.writer_1.totalTimeSpentWritingMs,1756515718886000000,1756515778915000000,185
Indexes.stubs.lookupDuration90PMs,1756515718886000000,1756515778915000000,0.0
Indexes.entries.lookupDurationMaxMs,1756515718886000000,1756515778915000000,18.0
Indexes.stubs.lookups,1756515718886000000,1756515778915000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1756515718886000000,1756515778915000000,152
Indexing.cache.totalCacheMisses,1756515718886000000,1756515778915000000,23897
Indexes.allKeys.lookups,1756515718886000000,1756515778915000000,0
Indexes.stubs.lookupDurationMaxMs,1756515718886000000,1756515778915000000,0.0
Indexes.allKeys.lookupDuration90PMs,1756515718886000000,1756515778915000000,0.0
Indexing.cache.totalCacheEvicted,1756515718886000000,1756515778915000000,23897
Indexing.cache.totalCacheAccesses,1756515718886000000,1756515778915000000,134049
Indexing.totalTimeIndexersSleptMs,1756515718886000000,1756515778915000000,0
Indexing.writesQueuedMin,1756515718886000000,1756515778915000000,0
IndexesFlusher.totalContentionQuotaSpent,1756515718886000000,1756515778915000000,10
Indexes.stubs.lookupDurationAvgMs,1756515718886000000,1756515778915000000,0.0
Indexes.entries.lookups,1756515718886000000,1756515778915000000,7
Indexes.entries.lookupDuration90PMs,1756515718886000000,1756515778915000000,18.0
IndexesFlusher.totalFlushesRetried,1756515718886000000,1756515778915000000,0
